; Skill table
;
;
; NO : Skill ID
; FN : Specifies the file containing the corresponding skill image(b = 1, c= 2, .... )
; SI : The starting index of the skill
; FC : The number of frames in the skill
; ST : Cloth IDs' which can use with the skill.
;NO	FN	SI	FC	ST
0	1	0	5	5 10 15 20 25 39 55 56 57 58 75 76 77 78 95 96 97 98 105 115 116 117 118 135 136 137 138 156 157 158 159 160 174 179 186 210
1	1	10	7	5 10 15 20 25 39 55 56 57 58 75 76 77 78 95 96 97 98 105 115 116 117 118 135 136 137 138 156 157 158 159 160 174 179 186 210
2	1	24	4	5 10 15 20 25 39 55 56 57 58 75 76 77 78 95 96 97 98 105 115 116 117 118 135 136 137 138 156 157 158 159 160 174 179 186 210
3	1	32	5	5 10 15 20 25 39 55 56 57 58 75 76 77 78 95 96 97 98 105 115 116 117 118 135 136 137 138 156 157 158 159 160 174 179 186 210
4	1	42	4	5 10 15 20 25 39 55 56 57 58 75 76 77 78 95 96 97 98 105 115 116 117 118 135 136 137 138 156 157 158 159 160 174 179 186 210
5	1	50	2	5 10 15 20 25 39 55 56 57 58 75 76 77 78 95 96 97 98 105 115 116 117 118 135 136 137 138 156 157 158 159 160 174 179 186 210
6	2	0	4	2 7 12 17 22 28 27 29 36 43 44 45 46 63 64 65 66 83 84 85 86 105 123 124 125 126 143 144 145 146 156 157 158 159 160 175 180 186 204
7	2	8	3	2 7 12 17 22 28 27 29 36 43 44 45 46 63 64 65 66 83 84 85 86 105 123 124 125 126 143 144 145 146 156 157 158 159 160 175 180 186 204
8	2	14	4	2 7 12 17 22 28 27 29 36 43 44 45 46 63 64 65 66 83 84 85 86 105 123 124 125 126 143 144 145 146 156 157 158 159 160 175 180 186 204
9	2	22	8	2 7 12 17 22 28 27 29 36 43 44 45 46 63 64 65 66 83 84 85 86 105 123 124 125 126 143 144 145 146 156 157 158 159 160 175 180 186 204
10	2	38	2	2 7 12 17 22 28 27 29 36 43 44 45 46 63 64 65 66 83 84 85 86 105 123 124 125 126 143 144 145 146 156 157 158 159 160 175 180 186 204
11	2	42	3	2 7 12 17 22 28 27 29 36 43 44 45 46 63 64 65 66 83 84 85 86 105 123 124 125 126 143 144 145 146 156 157 158 159 160 175 180 186 204
12	2	48	3	2 7 12 17 22 28 27 29 36 43 44 45 46 63 64 65 66 83 84 85 86 105 123 124 125 126 143 144 145 146 156 157 158 159 160 175 180 186 204
13	3	0	2	3 8 13 18 23 40 59 60 61 62 79 80 81 82 99 100 101 102 105 119 120 121 122 139 140 141 142 156 157 158 159 160 176 181 186 212
